Sr. No, Item,Price,Shipping Price
34,SAMSUNG U28E590D Black 28" 4K UHD Widescreen LCD/LED Monitor  AMD FreeSync 1ms  370 cd/m2 DCR Mega Infinity (1000:1)  VESA Mountable  HDMI DisplayPort,$369.99 ,Free Shipping
35,Acer S241HLbmid  Black 24" 5ms HDMI Widescreen LED Backlight LCD Monitor,$119.99 ,Free Shipping
36,Acer XZ350CU Black 35" 21:9 Ultra-wide Curved Monitor  FreeSync 144 Hz 4ms 2560 x 1080 Gaming Monitor 300 cd/m2 100 000 000:1 HDMI Display Port w/ Built-in Speakers,$579.99 ,Free Shipping
37,ASUS VX238H-W White 23" 1ms (GTG) HDMI Widescreen LED Backlight LCD Monitor,$139.99 ,Free Shipping
38,SAMSUNG 390 Series C24F390 Glossy Black 24" 4ms HDMI Widescreen LCD/LED Monitor  AMD FreeSync  250cd/m2 DCR Mega Infinity (3000:1)  VESA Mountable  D-Sub  HDMI,$169.99 ,$0.99 Shipping
39,ViewSonic XG2700-4K 27" 3840 x 2160(4K) Ultra HD IPS Free Sync Gaming 4K Monitor  1000:1  300cd/m2  USB  HDMI  Display Port   Height  Pivot  Title and Swivel adjustable  VESA Mountable,$540.88 ,Free Shipping
40,Acer H6 Series H236HLbid Black 23" 5ms (GTG) HDMI Widescreen LED Backlight LED Backlit LCD Monitor  IPS Panel,$119.00 ,Free Shipping
41,ASUS PA329Q Black 32" 5ms (GTG) HDMI Widescreen LED Backlight LED Monitor IPS,$1249.9,Free Shipping
42,BenQ ZOWIE XL2430 Dark-Grey 24" 144Hz 1ms (GTG) e-Sports Gaming Monitor  350 cd/m2 DCR 12 000 000:1 (1000:1)  VESA Mountable  Height & Pivot & Swivel & Tilt Adjustment  Dual HDMI,$359.00 ,Free Shipping
43,BenQ ZOWIE XL2720 Dark-Grey 27" 144Hz 1ms (GTG) e-Sports Gaming Monitor  300 cd/m2 DCR 12 000 000:1 (1000:1)  VESA Mountable  Height & Pivot & Swivel & Tilt Adjustment  Dual HDMI,$379.00 ,Free Shipping
44,AOC E2425SWD Black 24" 5ms Widescreen LED Backlight Monitor  250 cd/m2 20 000 000:1  VESA Mountable  VGA DVI-D,$109.99 ,Free Shipping
45,ViewSonic VX2776-smhd 27" Full HD 1080P IPS Monitor  1000:1  250cd/m2  HDMI&VGA Display Port  Built-in Internal Speaker  VESA Mountable,$217.33 ,Free Shipping
46,BenQ BL2711U Black 27" IPS 4ms (GTG) UHD 4K LCD/LED Monitor  300 cd/m2 DCR 20 000 000:1 (1000:1)  CAD/CAM and Animation Mode  Height  Tilt  Swivel  Pivot Adjustment  Built-in Speakers  VESA Mountable,$461.42 ,Free Shipping
